date,politician,medical,celebrity
2021-01-22,-0.1,0.14929971988795518,NA
2021-01-23,0,0.2857142857142857,NA
2021-01-24,-0.2,-0.08333333333333334,NA
2021-01-25,-0.6666666666666666,0.4666666666666667,NA
2021-01-26,0.25,0.08,NA
2021-01-27,1,0.2,NA
2021-01-28,0,0.20324675324675326,NA
2021-01-29,-0.25333333333333335,0.2361111111111111,NA
2021-01-30,0.5,0.3469387755102041,NA
2021-01-31,NA,0.18888888888888888,NA
2021-02-01,NA,0.3433333333333333,NA
2021-02-02,0,0.24705882352941178,NA
2021-02-03,NA,0.37083333333333335,NA
2021-02-04,0.2888888888888889,0.036155202821869487,NA
2021-02-05,0.8571428571428572,0.29333333333333333,NA
2021-02-06,NA,0.5,NA
2021-02-07,1,0.5428571428571428,NA
2021-02-08,-0.3888888888888889,0.1450980392156863,NA
2021-02-09,-0.5,0.54,NA
2021-02-10,-1,0.4666666666666667,NA
2021-02-11,0.16666666666666666,0.2549019607843137,NA
2021-02-12,-1,0.40555555555555556,NA
2021-02-13,-0.6666666666666666,0.2633333333333333,NA
2021-02-14,NA,0.43333333333333335,NA
2021-02-15,NA,-0.09047619047619047,NA
2021-02-16,1,0.24666666666666667,NA
2021-02-17,0.5222222222222223,0.04370015948963318,1
2021-02-18,0.3333333333333333,0.39537414965986395,NA
2021-02-19,NA,0.051666666666666666,NA
2021-02-20,NA,0.07222222222222222,1
2021-02-21,1,-0.2,NA
2021-02-22,0.8888888888888888,0.6808080808080808,1
2021-02-23,NA,0.6132716049382716,NA
2021-02-24,0.6,0.3548872180451128,NA
2021-02-25,-0.5,0.43425925925925923,NA
2021-02-26,NA,0.26481481481481484,NA
2021-02-27,0.5,0.7,NA
2021-02-28,0,0.11904761904761904,NA
2021-03-01,0.4,0.8818181818181818,NA
2021-03-02,0.2,0.430952380952381,NA
2021-03-03,-1,0.7083333333333334,1
2021-03-04,0,0.4085714285714286,-1
2021-03-05,-0.35,0.4717948717948718,NA
2021-03-06,1,0.7428571428571429,NA
2021-03-07,NA,0.519047619047619,NA
2021-03-08,NA,0.43376623376623374,-1
2021-03-09,-1,0.6641269841269841,NA
2021-03-10,0.5,0.5333333333333333,NA
2021-03-11,-1,0.3223809523809524,1
2021-03-12,0.2,0.4,NA
2021-03-13,NA,0.017687074829931974,NA
2021-03-14,NA,-0.23809523809523808,NA
2021-03-15,NA,0.6823529411764706,NA
2021-03-16,NA,0.4756892230576441,NA
2021-03-17,-0.16666666666666666,0.2631578947368421,NA
2021-03-18,1,0.4013784461152882,NA
2021-03-19,0.3333333333333333,0.9238095238095239,1
2021-03-20,-1,0.46904761904761905,NA
2021-03-21,NA,0.5925925925925926,NA
2021-03-22,1,0.3433333333333333,NA
2021-03-23,0,0.07555555555555556,NA
2021-03-24,NA,0.4625,NA
2021-03-25,1,0.3272108843537415,NA
2021-03-26,NA,0.5738095238095238,NA
2021-03-27,NA,0.5714285714285714,NA
2021-03-28,0.7272727272727273,0.12275132275132275,NA
2021-03-29,0.3333333333333333,0.18546365914786966,NA
2021-03-30,-0.21428571428571427,0.2822222222222222,NA
2021-03-31,NA,0.1596866096866097,NA
2021-04-01,1,0.5395833333333333,1
2021-04-02,NA,0.5250329380764164,NA
2021-04-03,0.8333333333333333,0.2,NA
2021-04-04,NA,0.47916666666666663,NA
2021-04-05,0.55,0.3802083333333333,NA
2021-04-06,0.75,-0.10672268907563026,NA
2021-04-07,0.8785714285714286,0.3269230769230769,NA
2021-04-08,NA,0.5333333333333333,1
2021-04-09,1,0.382051282051282,0
2021-04-10,NA,0.3666666666666667,NA
2021-04-11,NA,0.1566137566137566,NA
2021-04-12,NA,0.493859649122807,NA
2021-04-13,0.08333333333333334,0.5406349206349206,NA
2021-04-14,0.7777777777777778,0.4652173913043478,NA
2021-04-15,1,0.22083333333333333,NA
2021-04-16,NA,0.31064425770308124,NA
2021-04-17,NA,0.02857142857142857,NA
2021-04-18,NA,0.49583333333333335,NA
2021-04-19,1,0.45555555555555555,NA
2021-04-20,0.55,0.5433333333333333,NA
2021-04-21,1,0.30995670995670993,NA
2021-04-22,0.08333333333333334,0.4666666666666667,NA
2021-04-23,NA,0.09206349206349206,NA
2021-04-24,NA,0.19523809523809524,NA
2021-04-25,NA,0.2777777777777778,NA
2021-04-26,NA,0.5688888888888889,NA
2021-04-27,0,0.4666666666666667,NA
2021-04-28,NA,0.2711111111111111,NA
2021-04-29,0.4722222222222222,0.44871794871794873,NA
2021-04-30,-1,0.5533333333333333,NA
2021-05-01,NA,1,NA
2021-05-02,NA,0.5,NA
2021-05-03,-0.5,0.3333333333333333,NA
2021-05-04,-0.4,0.4703703703703704,0.5
2021-05-05,NA,-0.19107142857142856,NA
2021-05-06,0.16666666666666669,0.4777777777777778,NA
2021-05-07,0.0925925925925926,0.24871794871794872,NA
2021-05-08,0.26666666666666666,0.6388888888888888,NA
2021-05-09,1,0.5752765752765753,NA
2021-05-10,0.16666666666666666,0.7407407407407407,NA
2021-05-11,-0.3333333333333333,0.24358974358974358,NA
2021-05-12,0.04761904761904762,0.4471177944862155,NA
2021-05-13,0.30303030303030304,0.20555555555555555,NA
2021-05-14,0.6666666666666666,0.6372549019607843,NA
2021-05-15,1,0.2777777777777778,NA
2021-05-16,-0.6666666666666666,0.1111111111111111,NA
2021-05-17,0.25,0.6363636363636364,NA
2021-05-18,0.33333333333333337,0.4907268170426065,NA
2021-05-19,0,0.47604166666666664,NA
2021-05-20,-0.13333333333333333,0.3,NA
2021-05-21,NA,0.5033333333333333,NA
2021-05-22,-0.6666666666666666,0.44727891156462585,NA
2021-05-23,0,0.19444444444444445,NA
2021-05-24,0.5918367346938775,0.8571428571428571,NA
2021-05-25,0.09523809523809525,0.45555555555555555,NA
2021-05-26,0.11111111111111112,0.23939393939393938,NA
2021-05-27,-0.06746031746031746,0.4711111111111111,NA
2021-05-28,0.11111111111111112,0.32,NA
2021-05-29,NA,0.1469387755102041,NA
2021-05-30,1,0.08730158730158728,NA
2021-05-31,0.5333333333333333,0.3333333333333333,NA
2021-06-01,0.8,-0.15656565656565657,NA
2021-06-02,-0.1111111111111111,0.24523809523809523,NA
2021-06-03,0.75,0.07948717948717948,NA
2021-06-04,0,0.4979166666666667,NA
2021-06-05,-0.05555555555555556,0.2962962962962963,NA
2021-06-06,0.047619047619047616,-0.04444444444444443,NA
2021-06-07,NA,0.3534798534798535,0.3333333333333333
2021-06-08,0.3666666666666667,0.32412698412698415,NA
2021-06-09,-0.5,0.18907563025210083,NA
2021-06-10,0.4444444444444444,0.38636363636363635,NA
2021-06-11,1,-0.050793650793650794,1
2021-06-12,0.6222222222222222,0.3375,NA
2021-06-13,NA,0.7083333333333334,NA
2021-06-14,NA,0.21476190476190476,NA
2021-06-15,0.75,0.2205128205128205,NA
2021-06-16,0,0.3862745098039216,NA
2021-06-17,-1,0.41904761904761906,NA
2021-06-18,0.4,0.35714285714285715,NA
2021-06-19,-0.16666666666666669,-0.20238095238095238,NA
2021-06-20,1,-0.09333333333333334,NA
2021-06-21,0.75,0.5833333333333334,NA
2021-06-22,0.17857142857142858,0.49777777777777776,1
2021-06-23,-0.02777777777777778,0.3214285714285714,NA
2021-06-24,0.5,0.3472222222222222,NA
2021-06-25,0.36666666666666664,-0.011904761904761902,1
2021-06-26,0.6666666666666666,0.22222222222222224,NA
2021-06-27,-0.33333333333333337,0.5833333333333334,NA
2021-06-28,0.8,0.2619047619047619,NA
2021-06-29,0.6666666666666666,0.21315192743764172,NA
2021-06-30,1,0.5510204081632653,NA
2021-07-01,-0.35,0.17596371882086168,NA
2021-07-02,0.3,0.3625850340136054,NA
2021-07-03,0.5,-0.2,NA
2021-07-04,-0.3333333333333333,-0.25,NA
2021-07-05,-0.05185185185185185,0.08571428571428572,NA
2021-07-06,0.25,0.25757575757575757,NA
2021-07-07,-0.1111111111111111,0.07777777777777778,NA
2021-07-08,0.08333333333333333,0.16165413533834586,NA
2021-07-09,0.1111111111111111,0.08092691622103387,NA
2021-07-10,NA,0.515079365079365,NA
2021-07-11,0.3333333333333333,0.10416666666666666,NA
2021-07-12,0.42666666666666664,0.10054945054945055,NA
2021-07-13,0.5555555555555556,0.30773809523809526,NA
2021-07-14,-0.08888888888888889,0.5061224489795918,NA
2021-07-15,0.1111111111111111,0.6,NA
2021-07-16,0.6666666666666666,-0.16666666666666666,NA
2021-07-17,NA,0.08095238095238096,NA
2021-07-18,0.047619047619047616,-0.15238095238095237,NA
2021-07-19,0.05555555555555556,0.3535714285714286,NA
2021-07-20,0.6666666666666666,0.4114583333333333,NA
2021-07-21,-0.03333333333333334,0.14617940199335547,NA
2021-07-22,0,0.3361552028218695,NA
2021-07-23,0,0.3080357142857143,NA
2021-07-24,-0.3333333333333333,0.13191656828020465,NA
2021-07-25,-0.33333333333333337,0.36007326007326007,NA
2021-07-26,0.8333333333333334,0.4032857142857143,NA
2021-07-27,0.22666666666666668,0.0778061224489796,NA
2021-07-28,0.5,0.352046783625731,NA
2021-07-29,1,0.5582010582010581,NA
2021-07-30,0.7333333333333333,0.2796825396825397,NA
2021-07-31,NA,-0.03611111111111111,NA
2021-08-01,NA,0.45,NA
2021-08-02,0.6,0.35432098765432096,NA
2021-08-03,-1,0.2223864258347017,NA
2021-08-04,-0.16666666666666666,0.37531328320802004,NA
2021-08-05,0,0.4383303938859494,0.6666666666666666
2021-08-06,-0.33333333333333337,0.386281179138322,NA
2021-08-07,0,0.3656878306878307,NA
2021-08-08,0.43333333333333335,0.24950029394473838,NA
2021-08-09,-0.2,0.08341013824884792,NA
2021-08-10,1,0.30006105006105005,NA
2021-08-11,1,0.3225806451612903,NA
2021-08-12,0,0.4823680823680824,NA
2021-08-13,0.15,0.13793103448275862,NA
2021-08-14,0,0.1986111111111111,NA
2021-08-15,NA,-0.15507246376811595,NA
2021-08-16,-0.2222222222222222,0.09531024531024532,NA
2021-08-17,NA,0.494949494949495,NA
2021-08-18,1,0.26458333333333334,NA
2021-08-19,1,0.04666666666666666,NA
2021-08-20,NA,0.11246200607902736,NA
2021-08-21,0.5,0.024999999999999998,NA
2021-08-22,-1,-0.203125,NA
2021-08-23,1,0.1400865800865801,NA
2021-08-24,-0.6,0.43843101343101343,NA
2021-08-25,0.525,0.3628571428571429,1
2021-08-26,1,0.225,NA
2021-08-27,0.4,0.16666666666666666,-1
2021-08-28,-0.16666666666666669,0.03428571428571428,NA
2021-08-29,-1,0.17106227106227107,NA
2021-08-30,0.5,0.09914529914529914,NA
2021-08-31,0.4444444444444444,0.23157894736842105,NA
2021-09-01,0.4888888888888889,0.3810071154898741,NA
2021-09-02,0.24444444444444444,0.128517316017316,NA
2021-09-03,1,0.19963718820861678,NA
2021-09-04,1,-0.06904761904761905,NA
2021-09-05,NA,0.13478513356562138,NA
2021-09-06,NA,0.3630952380952381,NA
2021-09-07,-0.14583333333333334,0.24074074074074073,NA
2021-09-08,0.6666666666666666,0.2950166112956811,NA
2021-09-09,0.03809523809523809,0.29404761904761906,NA
2021-09-10,0.20833333333333331,0.007070707070707073,NA
2021-09-11,-0.125,0.08024691358024691,NA
2021-09-12,0.5,0.18611111111111112,NA
2021-09-13,0.43333333333333335,0.3381779510811769,NA
2021-09-14,0.3333333333333333,0.2775193798449612,NA
2021-09-15,-0.16666666666666666,0.5313932980599647,1
2021-09-16,0.055555555555555546,0.25462962962962965,1
2021-09-17,-0.04166666666666667,0.40265567765567767,NA
2021-09-18,NA,0.2873015873015873,NA
2021-09-19,0,0.26578483245149914,NA
2021-09-20,1,0.20880018674136322,NA
2021-09-21,0,0.27268170426065164,NA
2021-09-22,0.5,0.32593445980542757,1
2021-09-23,-0.3,0.16376811594202897,NA
2021-09-24,-1,0.3577662337662338,0.3333333333333333
2021-09-25,NA,0.43866666666666665,NA
2021-09-26,-0.6,0.38666666666666666,NA
2021-09-27,1,0.6009740259740259,1
2021-09-28,0.11111111111111113,0.1404406538734897,NA
2021-09-29,0.05102040816326531,0.24642857142857144,NA
2021-09-30,0.005555555555555554,8.920372556736123e-4,NA
2021-10-01,0.2777777777777778,0.19487179487179487,NA
2021-10-02,0.3333333333333333,0.3686868686868687,NA
2021-10-03,0,0.13908045977011493,NA
2021-10-04,0.5066666666666667,0.14195624195624196,NA
2021-10-05,0.08492063492063492,0.3994252873563218,NA
2021-10-06,-0.26666666666666666,0.21677248677248678,NA
2021-10-07,-0.5,0.40793650793650793,1
2021-10-08,-0.41666666666666663,0.2216517857142857,NA
2021-10-09,0.6666666666666666,0.049999999999999996,NA
2021-10-10,-0.16666666666666666,0.04476190476190476,NA
2021-10-11,1,0.21727891156462584,NA
2021-10-12,0.3271604938271605,0.35572562358276644,NA
2021-10-13,-0.061224489795918366,0.20046082949308755,1
2021-10-14,0.15757575757575756,0.0645909645909646,NA
2021-10-15,0.42857142857142855,0.07660714285714286,0.3333333333333333
2021-10-16,0.537037037037037,-0.07166666666666667,NA
2021-10-17,0.6666666666666666,0.02023809523809524,NA
2021-10-18,0.7333333333333333,0.36607142857142855,NA
2021-10-19,0.14583333333333331,0.21379980563654033,NA
2021-10-20,0.4,0.38843537414965984,0
2021-10-21,0.2,0.5189504373177842,NA
2021-10-22,-0.17666666666666667,0.20765160765160764,NA
2021-10-23,0.4666666666666667,0.2693548387096774,NA
2021-10-24,0.4444444444444444,0.058097928436911486,NA
2021-10-25,0.2777777777777778,0.313953488372093,NA
2021-10-26,0.625,0.23697478991596638,1
2021-10-27,0.75,0.2604529616724739,1
2021-10-28,0.45674603174603173,0.3307823129251701,NA
2021-10-29,0.08333333333333333,0.04876543209876543,-1
2021-10-30,NA,0.0755256648113791,NA
2021-10-31,0.6,0.2699294532627866,NA
2021-11-01,0.625,0.18061224489795918,-1
2021-11-02,0.375,0.23276643990929705,NA
2021-11-03,0.4166666666666667,0.1867243867243867,-1
2021-11-04,0.5185185185185185,0.23604269293924465,NA
2021-11-05,-0.11111111111111112,0.45508365508365506,NA
2021-11-06,0.5722222222222222,0.2282312925170068,NA
2021-11-07,-0.11111111111111112,0.2299003322259136,NA
2021-11-08,-0.5,0.05333333333333334,NA
2021-11-09,0.08888888888888889,0.3427128427128427,NA
2021-11-10,0,0.39576074332171896,NA
2021-11-11,-0.08571428571428572,0.370952380952381,NA
2021-11-12,NA,0.10977443609022557,1
2021-11-13,0.8333333333333334,0.2153258778258778,0.3333333333333333
2021-11-14,NA,0.25736961451247165,NA
2021-11-15,-0.4,0.25087083459176485,NA
2021-11-16,-0.24,0.18846153846153846,NA
2021-11-17,0.3333333333333333,0.3734920634920635,NA
2021-11-18,-0.7777777777777778,0.268442932728647,0
2021-11-19,0.6333333333333333,0.22260015117157975,0.8
2021-11-20,NA,0.425,NA
2021-11-21,-1,0.319047619047619,NA
2021-11-22,NA,0.1675925925925926,1
2021-11-23,1,0.42108843537414964,NA
2021-11-24,0.2,0.4196620583717358,NA
2021-11-25,NA,0.2624458874458874,NA
2021-11-26,NA,-0.030864197530864196,NA
2021-11-27,-1,0.25130718954248366,NA
2021-11-28,NA,0.2261904761904762,NA
